Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
59, 24.828996658325195, 26.191238403320312 +/- 2.223383665084839, 1.6626129150390625 +/- 0.21905918419361115, 7.368298530578613 +/- 0.4380069971084595, 1.194819450378418 +/- 0.0006014307728037238, 0.8627235293388367 +/- 0.02077150158584118, 14.18661117553711 +/- 0.08878985047340393, 1.0168108940124512
60, 24.654226303100586, 25.654970169067383 +/- 2.3199851512908936, 1.652483582496643 +/- 0.21964338421821594, 7.036698818206787 +/- 0.4182344973087311, 1.1969037055969238 +/- 0.0006131946574896574, 0.8661798238754272 +/- 0.020068544894456863, 14.479928970336914 +/- 0.08192076534032822, 1.0179286003112793
61, 24.52621078491211, 25.368579864501953 +/- 2.0931339263916016, 1.6356496810913086 +/- 0.20042333006858826, 6.943106174468994 +/- 0.45069241523742676, 1.1990309953689575 +/- 0.0006240225629881024, 0.8675389885902405 +/- 0.024258842691779137, 14.793373107910156 +/- 0.10467377305030823, 1.018615961074829
62, 24.501018524169922, 25.216487884521484 +/- 2.3295671939849854, 1.6429362297058105 +/- 0.2192322164773941, 6.849347114562988 +/- 0.456649512052536, 1.2011581659317017 +/- 0.0005947068566456437, 0.8720773458480835 +/- 0.022926177829504013, 15.079505920410156 +/- 0.06909263134002686, 1.0181829929351807
63, 23.89788246154785, 24.86223602294922 +/- 2.368473529815674, 1.6243090629577637 +/- 0.22242076694965363, 6.687409400939941 +/- 0.4140518307685852, 1.2032477855682373 +/- 0.0006160448538139462, 0.8717033863067627 +/- 0.020846597850322723, 15.342931747436523 +/- 0.083339624106884, 1.0170557498931885
64, 23.536378860473633, 24.65240478515625 +/- 1.8693711757659912, 1.6114797592163086 +/- 0.18025025725364685, 6.5968194007873535 +/- 0.3472769856452942, 1.2053873538970947 +/- 0.0006356743979267776, 0.8712687492370605 +/- 0.021888652816414833, 15.451982498168945 +/- 0.0344853550195694, 1.017948865890503
65, 23.415191650390625, 24.595678329467773 +/- 2.0948543548583984, 1.61354398727417 +/- 0.19960854947566986, 6.617057800292969 +/- 0.4575871527194977, 1.2075928449630737 +/- 0.0006499110022559762, 0.8750892877578735 +/- 0.023211970925331116, 15.514606475830078 +/- 0.029331183061003685, 1.0180671215057373
66, 23.294597625732422, 24.323028564453125 +/- 2.0006115436553955, 1.599442720413208 +/- 0.19384616613388062, 6.483142375946045 +/- 0.4102324843406677, 1.2097618579864502 +/- 0.0006060979794710875, 0.874675989151001 +/- 0.022861935198307037, 15.62099838256836 +/- 0.06320071220397949, 1.0174956321716309
67, 22.910385131835938, 24.142047882080078 +/- 2.1691339015960693, 1.5909767150878906 +/- 0.198064386844635, 6.412142753601074 +/- 0.48726195096969604, 1.211991310119629 +/- 0.0006422365549951792, 0.874871015548706 +/- 0.01958473213016987, 15.629386901855469 +/- 0.04099761322140694, 1.0189461708068848
68, 23.00985336303711, 23.989356994628906 +/- 2.038285732269287, 1.5879356861114502 +/- 0.19214507937431335, 6.367249488830566 +/- 0.3744334578514099, 1.2141945362091064 +/- 0.0006717824726365507, 0.8778250217437744 +/- 0.020089127123355865, 15.705845832824707 +/- 0.022547753527760506, 1.0182383060455322
69, 22.599925994873047, 24.003829956054688 +/- 2.3886170387268066, 1.5861237049102783 +/- 0.19951605796813965, 6.424868583679199 +/- 0.7789345383644104, 1.2165842056274414 +/- 0.0006605417584069073, 0.8789600133895874 +/- 0.022291092202067375, 15.663060188293457 +/- 0.03543917089700699, 1.0171306133270264
70, 22.768882751464844, 24.044775009155273 +/- 2.3041107654571533, 1.5914584398269653 +/- 0.1897895187139511, 6.476365089416504 +/- 0.8320757746696472, 1.2190157175064087 +/- 0.0007413509301841259, 0.8818948268890381 +/- 0.02504279837012291, 15.667257308959961 +/- 0.03919726610183716, 1.0175862312316895
71, 22.483646392822266, 23.967151641845703 +/- 2.6542234420776367, 1.5884935855865479 +/- 0.20184192061424255, 6.465933799743652 +/- 1.138989806175232, 1.2213387489318848 +/- 0.0007598358206450939, 0.8831728100776672 +/- 0.02480205148458481, 15.70628833770752 +/- 0.05413684621453285, 1.0174915790557861
